Control #,Rec #,Lang,Source Audio ISBN-13,Course,Unit Num,start,stop,QZ #,line #,Speaker,Cue,Transliteration,#of words,Q or S,Course Name (Source),Snippet Name,Skills
88,88,JP,9781442310964,Japanese 3,4,,,10R,,M2,赤ワインと白ワインとどちらの方がいいですか。,aka wain to shiro wain to dochira no hoo ga ii desu ka.,13,Q,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0088.mp3,"6,9"
89,89,JP,9781442310964,Japanese 3,4,,,11Q,,N,I prefer beer.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0089.mp3,"6,9"
90,90,JP,9781442310964,Japanese 3,4,,,11R,,F,ビールの方がいいです。,biiru no hoo ga ii desu.,6,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0090.mp3,"6,9"
91,91,JP,9781442310964,Japanese 3,5,,,01Q,,N,"Ah, that's it.",,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0091.mp3,7
92,92,JP,9781442310964,Japanese 3,5,,,01R,,M,あ、それです。,"a, sore desu.",3,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0092.mp3,7
93,93,JP,9781442310964,Japanese 3,5,,,02Q,,N,Which is easier?,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0093.mp3,"7,9"
94,94,JP,9781442310964,Japanese 3,5,,,02R,,F,どちらの方が易しいですか。,dochira no hoo ga yasashii desu ka.,7,Q,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0094.mp3,"7,9"
95,95,JP,9781442310964,Japanese 3,5,,,03Q,,N,"Is this also yours, Mr. Johnson?",,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0095.mp3,9
96,96,JP,9781442310964,Japanese 3,5,,,03R,,F,これもジョンソンさんのですか。,kore mo johnson san no desu ka.,7,Q,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0096.mp3,9
97,97,JP,9781442310964,Japanese 3,5,,,04Q,,N,My friend is better than I.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0097.mp3,"5,9"
98,98,JP,9781442310964,Japanese 3,5,,,04R,,M,友達は私より上手です。,tomodachi wa watashi yori jozu desu.,6,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0098.mp3,"5,9"
99,99,JP,9781442310964,Japanese 3,5,,,05Q,,N,"Which is easier, English or Japanese?",,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0099.mp3,"9,15"
100,100,JP,9781442310964,Japanese 3,5,,,05R,,F,英語と日本語とどちらの方が易しいですか。,eigo to nihongo to dochira no hoo ga yasashii desu ka.,11,Q,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0100.mp3,"9,15"
101,101,JP,9781442310964,Japanese 3,5,,,06Q,,N,"For me, English is easier.",,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0101.mp3,15
102,102,JP,9781442310964,Japanese 3,5,,,06R,,M,私には英語の方が易しいです。,watashi ni wa eigo no hoo ga yasashii desu.,9,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0102.mp3,15
103,103,JP,9781442310964,Japanese 3,5,,,07Q,,N,I'm looking for a book.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0103.mp3,"7,9"
